,Месяц,НДПИ,Объём добычи,Утверждённый норматив потерь,Факт потери,Разница
0,Январь,175997,35.04989087292182,0.4906984722209055,0.004906984722209055,0.48579148749869644
1,Февраль,247471,30.987055143540072,0.43381877200956104,0.00433818772009561,0.42948058428946545
2,Март,169795,31.86190579472419,0.4460666811261387,0.0044606668112613865,0.4416060143148773
3,Апрель,196632,48.96868888049114,0.685561644326876,0.00685561644326876,0.6787060278836073
4,Май,200203,47.12738205553762,0.6597833487775268,0.006597833487775267,0.6531855152897514
5,Июнь,153221,57.72349225198134,0.8081288915277388,0.008081288915277388,0.8000476026124614
6,Июль,188478,58.51167219517978,0.8191634107325169,0.00819163410732517,0.8109717766251917
7,Август,185721,58.556424622454415,0.8197899447143618,0.008197899447143619,0.8115920452672182
8,Сентябрь,198039,50.05820511807729,0.7008148716530821,0.007008148716530821,0.6938067229365513
9,Октябрь,156052,40.95431371371164,0.573360391991963,0.0057336039199196295,0.5676267880720434
10,Ноябрь,173429,42.66817050964751,0.5973543871350652,0.005973543871350652,0.5913808432637145
11,Декабрь,131953,43.01296661004717,0.6021815325406604,0.006021815325406604,0.5961597172152538
